Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Country,State,City,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Mode,Payment Method,Sales Representative
ORD-109105,2025-08-05,2025-08-11,CU-10278,Mark Wilson,Consumer,United States,California,San Diego,West,PR-0020,Furniture,Chairs,MeshBack Office Chair,1121.49,1,0.05,295.41,Standard Class,Credit Card,Nina Petrova
ORD-108870,2023-10-13,2023-10-19,CU-10615,Andrew Lopez,Corporate,United States,California,San Francisco,West,PR-0039,Office Supplies,Binders,Report Cover Binder,52.97,2,0.15,15.55,Second Class,Debit Card,Nina Petrova
ORD-100135,2022-08-19,2022-08-25,CU-11694,Steven Harris,Consumer,United States,Oregon,Eugene,West,PR-0039,Office Supplies,Binders,Report Cover Binder,31.06,3,0.15,14.01,Standard Class,PayPal,Maria Silva
ORD-110426,2024-05-22,2024-05-28,CU-10447,Joshua Jackson,Corporate,United States,New York,Albany,East,PR-0009,Technology,Computers,UltraSlim Laptop,5935.86,6,0.0,1768.11,Standard Class,Credit Card,Ethan Wu
ORD-108644,2022-08-04,2022-08-09,CU-10316,Deborah King,Corporate,United States,Pennsylvania,Philadelphia,East,PR-0035,Office Supplies,Paper,Recycled Notebook Pack,9.6,2,0.4,-0.48,Standard Class,PayPal,Liam O'Connor
ORD-104503,2024-05-07,2024-05-12,CU-10098,Deborah Rodriguez,Consumer,United States,Pennsylvania,Pittsburgh,East,PR-0043,Office Supplies,Storage,File Sorter,316.77,8,0.05,162.02,Same Day,PayPal,Daniel Kim
ORD-100631,2022-09-19,2022-09-23,CU-10988,Charles Ramirez,Corporate,United States,Pennsylvania,Philadelphia,East,PR-0047,Office Supplies,Labels,Address Label Pack,78.36,1,0.15,25.03,Standard Class,Bank Transfer,Carlos Mendes
ORD-111130,2024-11-03,2024-11-09,CU-10835,Sandra Jones,Home Office,United States,Tennessee,Nashville,South,PR-0035,Office Supplies,Paper,Recycled Notebook Pack,17.86,2,0.2,5.94,Standard Class,Debit Card,Grace Okafor
ORD-102385,2025-01-30,2025-02-06,CU-10633,Richard Harris,Consumer,United States,Georgia,Atlanta,South,PR-0038,Office Supplies,Binders,3-Ring Binder,433.85,5,0.0,219.32,First Class,Bank Transfer,Ethan Wu
ORD-104803,2024-01-01,2024-01-07,CU-11954,Christopher Lewis,Corporate,United States,Ohio,Cleveland,Central,PR-0030,Furniture,Furnishings,Desk Lamp LED,216.84,2,0.0,59.48,Second Class,Bank Transfer,Carlos Mendes
ORD-105562,2022-09-24,2022-09-26,CU-10760,Lisa Martinez,Consumer,United States,Michigan,Ann Arbor,Central,PR-0007,Technology,Computers,AirLight 13,1360.14,2,0.0,328.22,Standard Class,Bank Transfer,Sofia Rossi
ORD-100536,2025-06-16,2025-06-22,CU-11611,Mark Jackson,Corporate,United States,Tennessee,Nashville,South,PR-0041,Office Supplies,Storage,Storage Box Set,28.44,2,0.15,9.41,Standard Class,PayPal,Ethan Wu
ORD-102554,2025-05-13,2025-05-20,CU-12034,Barbara Thomas,Corporate,United States,Tennessee,Memphis,South,PR-0028,Furniture,Bookcases,Corner Bookshelf,880.25,2,0.05,248.87,Standard Class,Credit Card,Sofia Rossi
ORD-102531,2025-01-01,2025-01-05,CU-11747,Amanda Jackson,Corporate,United States,North Carolina,Charlotte,South,PR-0035,Office Supplies,Paper,Recycled Notebook Pack,152.93,4,0.2,46.96,Standard Class,Debit Card,Priya Nair
ORD-102478,2023-02-19,2023-02-26,CU-10738,Carol Miller,Home Office,United States,Washington,Seattle,West,PR-0045,Office Supplies,Art,Highlighter Pack,430.62,6,0.0,191.72,First Class,PayPal,Ethan Wu
ORD-103346,2024-03-18,2024-03-19,CU-11381,Matthew Anderson,Home Office,United States,Oregon,Portland,West,PR-0004,Technology,Phones,Phone Pro Max,456.36,3,0.0,111.94,Standard Class,Bank Transfer,Carlos Mendes
ORD-102706,2025-12-22,2025-12-27,CU-12043,Barbara Young,Consumer,United States,Washington,Seattle,West,PR-0014,Technology,Accessories,Laptop Stand,3319.86,3,0.0,935.62,Standard Class,Credit Card,Daniel Kim
ORD-111709,2022-09-26,2022-09-28,CU-11715,Mary Anderson,Home Office,United States,Oregon,Eugene,West,PR-0012,Technology,Accessories,Mechanical Keyboard,151.39,1,0.05,28.77,Same Day,Bank Transfer,Nina Petrova
ORD-104611,2025-07-07,2025-07-13,CU-11249,George Moore,Home Office,United States,Michigan,Detroit,Central,PR-0010,Technology,Computers,WorkStation Elite,553.9,1,0.0,117.75,First Class,Cash on Delivery,Daniel Kim
ORD-100588,2025-09-29,2025-09-30,CU-12019,Sarah Lopez,Consumer,United States,Massachusetts,Boston,East,PR-0030,Furniture,Furnishings,Desk Lamp LED,916.45,2,0.05,316.21,Standard Class,Bank Transfer,Priya Nair
ORD-102369,2022-11-05,2022-11-12,CU-11272,David Clark,Consumer,United States,Nevada,Reno,West,PR-0014,Technology,Accessories,Laptop Stand,2580.79,3,0.05,575.61,Standard Class,PayPal,Nina Petrova
ORD-110220,2024-09-04,2024-09-05,CU-12184,Daniel Clark,Consumer,United States,Nevada,Las Vegas,West,PR-0009,Technology,Computers,UltraSlim Laptop,7779.12,5,0.05,2046.65,Standard Class,Credit Card,Nina Petrova
ORD-106155,2024-01-29,2024-02-02,CU-11317,Brian Thomas,Consumer,United States,Texas,Houston,Central,PR-0005,Technology,Phones,Aria Smartphone,1865.2,4,0.0,487.5,Second Class,Bank Transfer,Carlos Mendes
ORD-102017,2022-07-24,2022-07-28,CU-12019,Sarah Lopez,Consumer,United States,California,Los Angeles,West,PR-0003,Technology,Phones,ZenPhone Lite,2571.38,2,0.05,652.51,Same Day,Cash on Delivery,Liam O'Connor
ORD-100694,2024-05-21,2024-05-23,CU-11167,Susan Nguyen,Consumer,United States,Michigan,Detroit,Central,PR-0017,Technology,Copiers,PrintMaster 200,6845.38,7,0.05,1863.6,Standard Class,Cash on Delivery,Priya Nair
ORD-105376,2023-09-22,2023-09-29,CU-11669,Richard Lewis,Consumer,United States,Texas,Austin,Central,PR-0010,Technology,Computers,WorkStation Elite,303.69,1,0.05,66.52,Standard Class,Cash on Delivery,Sofia Rossi
ORD-110376,2024-06-18,2024-06-22,CU-11786,Brian Rodriguez,Consumer,United States,Pennsylvania,Philadelphia,East,PR-0026,Furniture,Tables,Glass Office Desk,1908.96,4,0.2,211.72,Standard Class,Cash on Delivery,Daniel Kim
ORD-106100,2025-05-29,,CU-10416,Sarah Hill,Consumer,United States,Ohio,Columbus,Central,PR-0041,Office Supplies,Storage,Storage Box Set,266.06,3,0.2,73.77,Standard Class,Debit Card,Priya Nair
ORD-108382,2024-05-12,2024-05-18,CU-10896,Lisa Jackson,Home Office,United States,Michigan,Detroit,Central,PR-0008,Technology,Computers,GameStation Tower,4955.84,4,0.15,695.77,First Class,Bank Transfer,Priya Nair
ORD-110205,2022-01-10,2022-01-17,CU-12068,Kevin Nguyen,Home Office,United States,Ohio,Cleveland,Central,PR-0022,Furniture,Chairs,Task Chair Basic,1323.99,3,0.0,426.11,First Class,Credit Card,Liam O'Connor
ORD-109858,2022-07-27,2022-08-03,CU-10777,Elizabeth Walker,Consumer,United States,California,San Diego,West,PR-0019,Furniture,Chairs,ErgoChair Deluxe,1077.16,1,0.05,254.55,Second Class,Credit Card,Ethan Wu
ORD-102587,2023-04-01,2023-04-03,CU-11035,Jennifer Ramirez,Consumer,United States,Washington,Spokane,West,PR-0009,Technology,Computers,UltraSlim Laptop,1657.91,2,0.3,-111.41,First Class,Bank Transfer,Liam O'Connor
ORD-106890,2024-02-10,2024-02-17,CU-11633,James Miller,Corporate,United States,New York,New York City,East,PR-0005,Technology,Phones,Aria Smartphone,816.06,1,0.0,185.56,Standard Class,Cash on Delivery,Daniel Kim
ORD-103039,2023-10-15,2023-10-17,CU-10264,Christopher Sanchez,Corporate,United States,Nevada,Reno,West,PR-0021,Furniture,Chairs,Executive Leather Chair,97.04,1,0.3,-2.73,Standard Class,Bank Transfer,Liam O'Connor
ORD-100799,2025-02-14,2025-02-15,CU-11528,Jessica Torres,Consumer,United States,New York,New York City,East,PR-0021,Furniture,Chairs,Executive Leather Chair,1191.6,2,0.0,429.79,Same Day,Cash on Delivery,Nina Petrova
ORD-107059,2024-07-11,2024-07-14,CU-11110,Karen Hernandez,Consumer,United States,Ohio,Cleveland,Central,PR-0041,Office Supplies,Storage,Storage Box Set,150.75,4,0.2,40.0,Standard Class,Bank Transfer,Sofia Rossi
ORD-110008,2024-04-04,2024-04-05,CU-11362,Paul Brown,Consumer,United States,Massachusetts,Boston,East,PR-0024,Furniture,Tables,Standing Desk Pro,447.61,2,0.1,105.52,First Class,PayPal,Grace Okafor
ORD-106238,2025-12-28,2026-01-04,CU-10641,Andrew Brown,Home Office,United States,New Jersey,Jersey City,East,PR-0022,Furniture,Chairs,Task Chair Basic,,8,0.05,1520.23,First Class,Bank Transfer,Daniel Kim
ORD-100623,2022-03-05,2022-03-07,CU-11508,Emily Walker,Consumer,United States,Florida,Miami,South,PR-0039,Office Supplies,Binders,Report Cover Binder,80.09,1,0.0,33.36,Second Class,Cash on Delivery,Maria Silva
